pattern_id,regex,grammatical_item,Sentence_type,grammatical_item_JP,Sentence_type_JP,shorthand_code,,comment,abbreviated_pattern
1,I_PP_I (am|'m)_VBP_be(?! (not|n't)_),I am,AFF. DEC.,人称代名詞主格(I)+be: I am,肯定平叙,PP.I_am,,,I (am|'m) (?!{not})
1,I_PP_I (am|'m)_VBP_be (not|n't)_\S+,I am not,NEG. DEC.,人称代名詞主格(I)+be: I am not,否定平叙,PP.I_am_not,,,I (am|'m) {not}
1,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kam_VBP_be I_PP_I(?! not_) .+? \?_SENT_\?",Am I ...?,AFF. INT.,人称代名詞主格(I)+be: Am I ...?,肯定疑問,PP.am_I,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) am I (?!not) (任意の語)*? ?
1,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(am_VBP_be I_PP_I not_\S+|are_VBP_be n't_\S+ I_PP_I) .+? \?_SENT_\?",Am I not ...?,NEG. INT.,人称代名詞主格(I)+be: Am I not ...?,否定疑問,PP.am_I_not,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) (am I not|aren't I) (任意の語)*? ?
2,"(^|\S+_(``|''|\(|,|:|LS)_\S+)\Kyou_PP_you (are|'re)_VBP_be(?! (not|n't)_)",You are,AFF. DEC.,人称代名詞主格(you)+be: You are,肯定平叙,PP.you_are,,文頭(相当)位置に限定,(^|区切り位置) you (are|'re) (?!{not})
2,"(^|\S+_(``|''|\(|,|:|LS)_\S+)\Kyou_PP_you (are|'re)_VBP_be (not|n't)_\S+",You are not,NEG. DEC.,人称代名詞主格(you)+be: You are not,否定平叙,PP.you_are_not,,文頭(相当)位置に限定,(^|区切り位置) you (are|'re) {not}
2,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be you_PP_you(?! not_) .+? \?_SENT_\?",Are you ...?,AFF. INT.,人称代名詞主格(you)+be: Are you ...?,肯定疑問,PP.are_you,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are you (?!{not}) (任意の語)*? ?
2,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kare_VBP_be (n't_\S+ you_PP_you|you_PP_you not_\S+) .+? \?_SENT_\?",Aren't you ...?,NEG. INT.,人称代名詞主格(you)+be: Aren't you ...? / Are you not ...?,否定疑問,PP.aren't_you,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) are (n't you|you not) (任意の語)*? ?
3,\b(he|she)_PP_(he|she) (is|'s)_VBZ_be(?! (not|n't)_),he/she is,AFF. DEC.,人称代名詞主格(he/she)+be: he/she is,肯定平叙,PP.he.she_is,,,(he|she) (is|'s) (?!{not})
3,\b(he|she)_PP_(he|she) (is|'s)_VBZ_be (not|n't)_\S+,he/she is not,NEG. DEC.,人称代名詞主格(he/she)+be: he/she is not,否定平叙,PP.he.she_is_not,,,(he|she) (is|'s) {not}
3,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be (he|she)_PP_(he|she)(?! not_) .+? \?_SENT_\?",Is he/she ...?,AFF. INT.,人称代名詞主格(he/she)+be: Is he/she ...?,肯定疑問,PP.is_he.she,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) is (he|she) (?!{not}) (任意の語)*? ?
3,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kis_VBZ_be (n't_\S+ (he|she)_PP_(he|she)|(he|she)_PP_(he|she) not_\S+) .+? \?_SENT_\?",Isn't he/she ...?,NEG. INT.,人称代名詞主格(he/she)+be: Isn't he/she ...? / Is he/she not ...?,否定疑問,PP.isn't_he.she,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) is (n't (he|she)|(he|she) not) (任意の語)*? ?
4,we_PP_we (are|'re)_VBP_be(?! (not|n't)_),we are,AFF. DEC.,人称代名詞主格(we)+be: we are,肯定平叙,PP.we_are,,,we (are|'re) (?!{not})
4,we_PP_we (are|'re)_VBP_be (not|n't)_\S+,we are not,NEG. DEC.,人称代名詞主格(we)+be: we are not,否定平叙,PP.we_are_not,,,we (are|'re) {not}
